epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1207.5,0.64773,1.53457,0.99525,0.98406,0.98019,0.99171,0.85003,0.54917,0.37671,0.86333,0.000166611,0.000166611,0.000166611
2,2411.11,0.56462,0.40406,0.94682,0.9835,0.99315,0.98898,0.86832,0.50036,0.31397,0.85251,0.000300283,0.000300283,0.000300283
3,3519.16,0.53807,0.30951,0.93279,0.98082,0.99376,0.99426,0.89023,0.48218,0.27914,0.84716,0.000400955,0.000400955,0.000400955
4,4622.61,0.50804,0.27695,0.92063,0.98093,0.98718,0.98485,0.89461,0.43572,0.25488,0.83417,0.0003515,0.0003515,0.0003515
5,5690.98,0.47595,0.25383,0.90592,0.98622,0.9942,0.99157,0.91363,0.4151,0.23168,0.83108,0.000302,0.000302,0.000302
6,6760.39,0.45045,0.23527,0.89441,0.98806,0.99567,0.98981,0.92027,0.39541,0.21818,0.82822,0.0002525,0.0002525,0.0002525
7,7840.34,0.42821,0.21872,0.88562,0.98816,0.99584,0.99356,0.93239,0.37385,0.2004,0.82091,0.000203,0.000203,0.000203
8,8915.46,0.40678,0.20298,0.87502,0.98873,0.9954,0.99141,0.93334,0.36756,0.19213,0.81958,0.0001535,0.0001535,0.0001535
9,10009.2,0.38682,0.1908,0.8672,0.98889,0.99566,0.99342,0.93548,0.35589,0.18146,0.81683,0.000104,0.000104,0.000104
10,11103.2,0.36553,0.17741,0.85882,0.98821,0.99598,0.99142,0.93901,0.35308,0.17906,0.81596,5.45e-05,5.45e-05,5.45e-05
